#1:i  2:j   3:lat       4:lon       5:rproj     6:vproj     
0     96    -88.20000   +172.80000  -9.991e-01  -2.955e-02  
0     97    -88.20000   +174.60000  -9.992e-01  -2.856e-02  
0     98    -88.20000   +176.40000  -9.992e-01  -2.758e-02  
0     99    -88.20000   +178.20000  -9.992e-01  -2.659e-02  
0     100   -88.20000   +180.00000  -9.992e-01  -2.561e-02  
0     101   -88.20000   +181.80000  -9.993e-01  -2.462e-02  
0     102   -88.20000   +183.60000  -9.993e-01  -2.364e-02  
0     103   -88.20000   +185.40000  -9.993e-01  -2.266e-02  
0     104   -88.20000   +187.20000  -9.993e-01  -2.168e-02  
0     105   -88.20000   +189.00000  -9.994e-01  -2.071e-02  
0     106   -88.20000   +190.80000  -9.994e-01  -1.974e-02  
0     107   -88.20000   +192.60000  -9.994e-01  -1.878e-02  
0     108   -88.20000   +194.40000  -9.994e-01  -1.783e-02  
0     109   -88.20000   +196.20000  -9.995e-01  -1.688e-02  
0     110   -88.20000   +198.00000  -9.995e-01  -1.595e-02  
0     111   -88.20000   +199.80000  -9.995e-01  -1.502e-02  
0     112   -88.20000   +201.60000  -9.995e-01  -1.411e-02  
0     113   -88.20000   +203.40000  -9.996e-01  -1.321e-02  
0     114   -88.20000   +205.20000  -9.996e-01  -1.232e-02  
0     115   -88.20000   +207.00000  -9.996e-01  -1.145e-02  
0     116   -88.20000   +208.80000  -9.996e-01  -1.059e-02  
0     117   -88.20000   +210.60000  -9.996e-01  -9.742e-03  
0     118   -88.20000   +212.40000  -9.997e-01  -8.915e-03  
0     119   -88.20000   +214.20000  -9.997e-01  -8.105e-03  
0     120   -88.20000   +216.00000  -9.997e-01  -7.313e-03  
0     121   -88.20000   +217.80000  -9.997e-01  -6.540e-03  
0     122   -88.20000   +219.60000  -9.997e-01  -5.786e-03  
0     123   -88.20000   +221.40000  -9.998e-01  -5.053e-03  
0     124   -88.20000   +223.20000  -9.998e-01  -4.341e-03  
0     125   -88.20000   +225.00000  -9.998e-01  -3.650e-03  
0     126   -88.20000   +226.80000  -9.998e-01  -2.983e-03  
0     127   -88.20000   +228.60000  -9.998e-01  -2.338e-03  
0     128   -88.20000   +230.40000  -9.998e-01  -1.717e-03  
0     129   -88.20000   +232.20000  -9.999e-01  -1.121e-03  
0     130   -88.20000   +234.00000  -9.999e-01  -5.490e-04  
0     131   -88.20000   +235.80000  -9.999e-01  -2.990e-06  
